,name,url
0, Elias Abuelazam  The Serial Slasher ,https://killer.cloud/serial-killers/show/292/elias-abuelazam
1, Stephen Akinmurele  The Cul-de-sac Killer ,https://killer.cloud/serial-killers/show/265/stephen-akinmurele
2, Süleyman Aktaş  The Nailing Killer ,https://killer.cloud/serial-killers/show/303/sueleyman-aktas
3," Charles Albright  Texas Eyeball Killer, Dallas Ripper, Dallas Slasher ",https://killer.cloud/serial-killers/show/395/charles-albright
4, Rodney Alcala  Dating Game Killer ,https://killer.cloud/serial-killers/show/162/rodney-alcala
5, Patricia Allanson  The Deadly Magnolia ,https://killer.cloud/serial-killers/show/444/patricia-allanson
6, Howard Arthur Allen   ,https://killer.cloud/serial-killers/show/405/howard-arthur-allen
7, Beverley Allitt  The Angel of Death ,https://killer.cloud/serial-killers/show/518/beverley-allitt
8, Dale Anderson  Belleville Murders ,https://killer.cloud/serial-killers/show/447/dale-anderson
9, Marcelo Costa de Andrade  The Vampire of Niterói ,https://killer.cloud/serial-killers/show/75/marcelo-costa-de-andrade
10, Richard Angelo  Angel of Death ,https://killer.cloud/serial-killers/show/508/richard-angelo
11," Amy Archer-Gilligan  Amy E. Duggan, Sister ",https://killer.cloud/serial-killers/show/446/amy-archer-gilligan
12," John Eric Armstrong  BABYDOLL, Opie ",https://killer.cloud/serial-killers/show/445/john-eric-armstrong
13, Valery Asratyan  The Director ,https://killer.cloud/serial-killers/show/435/valery-asratyan
14, Benjamin Atkins  The Woodward Corridor Killer ,https://killer.cloud/serial-killers/show/105/benjamin-atkins
15, Johnny Avalos  San Antonio serial killer ,https://killer.cloud/serial-killers/show/509/johnny-avalos
16, Dmitry Baksheev  Cannibal Couple ,https://killer.cloud/serial-killers/show/489/dmitry-baksheev
17, Natalia Baksheev  Cannibal Couple ,https://killer.cloud/serial-killers/show/490/natalia-baksheev
18," Joe Ball  The Alligator Man, Butcher of Elmendor, Bluebeard of South Texas ",https://killer.cloud/serial-killers/show/510/joe-ball
19," Francisca Ballesteros  The Black Widow of Valencia, The Poisoner of Melilla ",https://killer.cloud/serial-killers/show/423/francisca-ballesteros
20, Asande Baninzi   ,https://killer.cloud/serial-killers/show/628/asande-baninzi
21, Bai Baoshan   ,https://killer.cloud/serial-killers/show/634/bai-baoshan
22," Velma Barfield  Death Row Granny, Mama Margie ",https://killer.cloud/serial-killers/show/453/velma-barfield
23, Cesar Barone  Adolph James Rode ,https://killer.cloud/serial-killers/show/646/cesar-barone
24," Juana Barraza  La Mataviejitas, The Old Lady Killer ",https://killer.cloud/serial-killers/show/102/juana-barraza
25," Jürgen Bartsch  The Carnival Killer, Der Kirmesmörder ",https://killer.cloud/serial-killers/show/342/juergen-bartsch
26," Elizabeth Bathory  The Blood Countess, The Čachtice Countess ",https://killer.cloud/serial-killers/show/454/elizabeth-bathory
27, Herb Baumeister  The I-70 Strangler ,https://killer.cloud/serial-killers/show/99/herb-baumeister
28," Levi Bellfield  Yusuf Rahim, Bus Stop Stalker ",https://killer.cloud/serial-killers/show/392/levi-bellfield
29," Robert Berdella  The Kansas City Butcher, The Collector ",https://killer.cloud/serial-killers/show/230/robert-berdella
30," David Berkowitz  Son of Sam, The .44 Caliber Killer ",https://killer.cloud/serial-killers/show/236/david-berkowitz
31," Manuel Octavio Bermudez  El Monstruo de los Cañaduzales, The Monster of the Cane Fields ",https://killer.cloud/serial-killers/show/29/manuel-octavio-bermudez
32," Paul Kenneth Bernardo  Scarborough Rapist, Schoolgirl Killer ",https://killer.cloud/serial-killers/show/375/paul-kenneth-bernardo
33, Kenneth Alessio Bianchi  Hillside Stranglers ,https://killer.cloud/serial-killers/show/94/kenneth-alessio-bianchi
34, Richard Biegenwald  The Thrill Killer ,https://killer.cloud/serial-killers/show/149/richard-biegenwald
35," Mohammed Bijeh  Tehran Desert Vampire, the hyenas ",https://killer.cloud/serial-killers/show/51/mohammed-bijeh
36," Donato Bilancia  The Monster of Liguria, The Ligurian Monster ",https://killer.cloud/serial-killers/show/48/donato-bilancia
37, Jake Bird  The Tacoma Ax-Killer ,https://killer.cloud/serial-killers/show/78/jake-bird
38, Anatoly Biryukov  The Baby Hunter ,https://killer.cloud/serial-killers/show/302/anatoly-biryukov
39, Arthur Gary Bishop   ,https://killer.cloud/serial-killers/show/287/arthur-gary-bishop
40, Lawrence Bittaker  Tool Box Killers ,https://killer.cloud/serial-killers/show/455/lawrence-bittaker
41," John Bittrolff  suspected Long Island Serial Killer, LISK ",https://killer.cloud/serial-killers/show/592/john-bittrolff
42," Robert Black  M1 Maniac, Smelly Bob ",https://killer.cloud/serial-killers/show/310/robert-black
43, Terry Blair   ,https://killer.cloud/serial-killers/show/191/terry-blair
44, Daniel Blank  Daniel Joseph Blank ,https://killer.cloud/serial-killers/show/457/daniel-blank
45, Elfriede Blauensteiner  The Black Widow ,https://killer.cloud/serial-killers/show/379/elfriede-blauensteiner
46, Wayne Boden  the Vampire Rapist ,https://killer.cloud/serial-killers/show/353/wayne-boden
47, William Bonin  the Freeway Killer ,https://killer.cloud/serial-killers/show/31/william-bonin
48," Nicolai Bonner  Haifa serial killer, The Homeless Murderer ",https://killer.cloud/serial-killers/show/358/nicolai-bonner
49," Ali Asghar Borujerdi  Asghar the Murderer, Ashare Qatel ",https://killer.cloud/serial-killers/show/17/ali-asghar-borujerdi
50, Dallen Bounds  Dallen Forrest Bounds ,https://killer.cloud/serial-killers/show/317/dallen-bounds
51, Gary Ray Bowles   ,https://killer.cloud/serial-killers/show/249/gary-ray-bowles
52," Lucious Boyd  Lucilous Boyd, Lucifer ",https://killer.cloud/serial-killers/show/623/lucious-boyd
53, Ian Brady  The Moors murders ,https://killer.cloud/serial-killers/show/603/ian-brady
54, Gregory Brazel  Bluey ,https://killer.cloud/serial-killers/show/420/gregory-brazel
55, Mary Ann Britland  Harrisons Vermin Killer ,https://killer.cloud/serial-killers/show/616/mary-ann-britland
56, Debra Brown   ,https://killer.cloud/serial-killers/show/530/debra-brown
57, Robert Browne  Robert Charles Browne ,https://killer.cloud/serial-killers/show/458/robert-browne
58," Jerome Jerry Brudos  The Lust Killer, The Shoe Fetish Slayer ",https://killer.cloud/serial-killers/show/330/jerry-brudos
59, Peter Bryan   ,https://killer.cloud/serial-killers/show/429/peter-bryan
60," Judias Judy Buenoano  Black Widow, Buenoano, Goodyear, Morris ",https://killer.cloud/serial-killers/show/374/judy-buenoano
61, Ted Bundy  Theodore Robert Bundy ,https://killer.cloud/serial-killers/show/15/ted-bundy
62, Carol M. Bundy  Sunset Strip Killers ,https://killer.cloud/serial-killers/show/531/carol-m-bundy
63," John Justin Bunting  Snowtown murders, Bodies in the Barrels Murders ",https://killer.cloud/serial-killers/show/100/john-justin-bunting
64, Angelo Buono  The Hillside Stranglers ,https://killer.cloud/serial-killers/show/136/angelo-buono
65, William Burke  Burke and Hare murders ,https://killer.cloud/serial-killers/show/459/william-burke
66, B1 Butcher   ,https://killer.cloud/serial-killers/show/304/b1-butcher
67, Alexander Bychkov  Belinsky Cannibal ,https://killer.cloud/serial-killers/show/150/alexander-bychkov
68, José Luis Calva  José Luis Calva Zepeda ,https://killer.cloud/serial-killers/show/482/jose-luis-calva
69," Daniel Camargo  The Sadist of Chanquito, Manuel Bulgarin Solis ",https://killer.cloud/serial-killers/show/2/daniel-camargo
70, Mario Alberto Sulu Canche  Mario Alberto Sulub Canche ,https://killer.cloud/serial-killers/show/417/mario-alberto-sulu-canche
71, Ricardo Caputo  The Lady Killer ,https://killer.cloud/serial-killers/show/309/ricardo-caputo
72," Harvey Carignan  The Want-Ad Killer, Harv the hammer ",https://killer.cloud/serial-killers/show/267/harvey-carignan
73, David Carpenter  The Trailside Killer ,https://killer.cloud/serial-killers/show/188/david-carpenter
74, Michael Bear Carson  the San Francisco Witch Killers ,https://killer.cloud/serial-killers/show/533/michael-bear-carson
75, Suzan Bear Carson  the San Francisco Witch Killers ,https://killer.cloud/serial-killers/show/534/suzan-bear-carson
76, Steven David Catlin   ,https://killer.cloud/serial-killers/show/406/steven-david-catlin
77, Gilberto Chamba  The Monster of Machala ,https://killer.cloud/serial-killers/show/157/gilberto-chamba
78, Pierre Chanal   ,https://killer.cloud/serial-killers/show/369/pierre-chanal
79, George Chapman  Jack the Ripper (possible) ,https://killer.cloud/serial-killers/show/427/george-chapman
80, Richard Trenton Chase  Vampire of Sacramento ,https://killer.cloud/serial-killers/show/235/richard-trenton-chase
81, Billy Chemirmir   ,https://killer.cloud/serial-killers/show/662/billy-chemirmir
82," Gao Chengyong  the Chinese Jack the Ripper, the Silver City serial killer ",https://killer.cloud/serial-killers/show/624/gao-chengyong
83," Andrei Chikatilo  The Butcher of Rostov, The Red Ripper, The Rostov Ripper, Citizen X ",https://killer.cloud/serial-killers/show/5/andrei-chikatilo
84, Thor Nis Christiansen  The Hitchhiker Slayer ,https://killer.cloud/serial-killers/show/333/thor-nis-christiansen
85, John Christie  The Rillington Place Strangler ,https://killer.cloud/serial-killers/show/177/john-christie
86," Joseph Christopher  The Midtown Slasher, The .22-Caliber Killer ",https://killer.cloud/serial-killers/show/96/joseph-christopher
87," Yevgeny Chuplinsky  The Maniac of Novosibirsk, Novosibirsky Manyak ",https://killer.cloud/serial-killers/show/630/yevgeny-chuplinsky
88, Leonarda Cianciulli  The Soap-maker of Correggio ,https://killer.cloud/serial-killers/show/397/leonarda-cianciulli
89," Hadden Clark  The Cross Dressing Cannibal, The Rockville Rocket ",https://killer.cloud/serial-killers/show/487/hadden-clark
90, Doug Clark  Sunset Strip Killers ,https://killer.cloud/serial-killers/show/532/doug-clark
91, Kelly Cochran  Dead North ,https://killer.cloud/serial-killers/show/637/kelly-cochran
92, Cynthia Coffman  Property of the Folsom Wolf ,https://killer.cloud/serial-killers/show/570/cynthia-coffman
93," Adnan Colak  Artvin Monster, The Beast of Artvin, Artvin Canavari ",https://killer.cloud/serial-killers/show/116/adnan-colak
94, Carroll Edward Cole  Carroll Cole ,https://killer.cloud/serial-killers/show/60/carroll-cole
95, Alton Coleman   ,https://killer.cloud/serial-killers/show/529/alton-coleman
96," John Norman Collins  Ypsilanti Ripper, the Michigan Murderer, the Co-Ed Killer ",https://killer.cloud/serial-killers/show/565/john-norman-collins
97, Daniel Conahan  Hog Trails Killer ,https://killer.cloud/serial-killers/show/576/daniel-conahan
98, Rory Enrique Conde  The Tamiami Trail Strangler ,https://killer.cloud/serial-killers/show/242/rory-enrique-conde
99," Adolfo Constanzo  The Godfather, El Padrino, The Witch Doctor ",https://killer.cloud/serial-killers/show/473/adolfo-constanzo
100, Eric Edgar Cooke  The Night Caller ,https://killer.cloud/serial-killers/show/170/eric-edgar-cooke
101," John Cooper  The Bullseye Killer, The Wildman ",https://killer.cloud/serial-killers/show/345/john-cooper
102, Ray Copeland  The Copeland Killings ,https://killer.cloud/serial-killers/show/566/ray-copeland
103, Faye Copeland  The Copeland Killings ,https://killer.cloud/serial-killers/show/567/faye-copeland
104," Dean Corll  Candy Man, Pied Piper ",https://killer.cloud/serial-killers/show/21/dean-corll
105, Juan Vallejo Corona  The Machete Murderer ,https://killer.cloud/serial-killers/show/23/juan-vallejo-corona
106, Tony Costa  Antone Charles Costa ,https://killer.cloud/serial-killers/show/306/tony-costa
107, Antonio Luis Costa  Cabo Costa ,https://killer.cloud/serial-killers/show/437/antonio-luis-costa
108, Richard Cottingham  The Torso Killer ,https://killer.cloud/serial-killers/show/253/richard-cottingham
109, Mary Ann Cotton   ,https://killer.cloud/serial-killers/show/517/mary-ann-cotton
110, Juan Covington   ,https://killer.cloud/serial-killers/show/414/juan-covington
111, Louis Craine  Southside Slayer murders ,https://killer.cloud/serial-killers/show/584/louis-craine
112, Andre Crawford  South Side killings ,https://killer.cloud/serial-killers/show/112/andre-crawford
113, John Martin Crawford  The Lady Killer ,https://killer.cloud/serial-killers/show/315/john-martin-crawford
114, Thomas Neill Cream  The Lambeth Poisoner ,https://killer.cloud/serial-killers/show/612/thomas-neill-cream
115, Dale Cregan   ,https://killer.cloud/serial-killers/show/351/dale-cregan
116, Charles Edmund Cullen  Angel of Death ,https://killer.cloud/serial-killers/show/511/charles-edmund-cullen
117," Gordon Cummins  The Blackout Ripper, The Blackout Killer ",https://killer.cloud/serial-killers/show/322/gordon-cummins
118, Matej Curko  The Slovak cannibal ,https://killer.cloud/serial-killers/show/491/matej-curko
119, Antonis Daglis  The Athens Ripper ,https://killer.cloud/serial-killers/show/440/antonis-daglis
120," Jeffrey Dahmer  Milwaukee Cannibal, Milwaukee Murderer ",https://killer.cloud/serial-killers/show/54/jeffrey-dahmer
121," Joseph James DeAngelo  EARONS, The East Area Rapist, Original Night Stalker ",https://killer.cloud/serial-killers/show/505/joseph-james-deangelo
122, Mike DeBardeleben  The Mall Passer ,https://killer.cloud/serial-killers/show/553/mike-debardeleben
123, Bandali Debs   ,https://killer.cloud/serial-killers/show/377/bandali-debs
124, Ozgur Dengiz  The Cannibal of Ankara ,https://killer.cloud/serial-killers/show/442/oezguer-dengiz
125," Karl Denke  The Cannibal of Ziębice, Vatter Denke ",https://killer.cloud/serial-killers/show/20/karl-denke
126, Joanna Dennehy  Peterborough ditch murders ,https://killer.cloud/serial-killers/show/441/joanna-dennehy
127," Paul Denyer  Paula Denyer, Frankston Killer ",https://killer.cloud/serial-killers/show/376/paul-denyer
128, Albert DeSalvo  Boston Strangler ,https://killer.cloud/serial-killers/show/85/boston-strangler
129, Samuel Dieteman  The Serial Shooters ,https://killer.cloud/serial-killers/show/468/samuel-dieteman
130, Thomas Dillon   ,https://killer.cloud/serial-killers/show/273/thomas-dillon
131, Léopold Dion  Monster of Port-Rouge ,https://killer.cloud/serial-killers/show/326/leopold-dion
132, Westley Allan Dodd  The Vancouver Child Killer ,https://killer.cloud/serial-killers/show/387/westley-allan-dodd
133, Ronald Dominique  The Bayou Strangler ,https://killer.cloud/serial-killers/show/27/ronald-dominique
134," Howell Donaldson  Seminole Heights serial killer, Tampa Bay Serial Killer ",https://killer.cloud/serial-killers/show/657/howell-donaldson
135, The Doodler  the Black Doodler ,https://killer.cloud/serial-killers/show/74/the-doodler
136," Nannie Doss  Giggling Nanny, Giggling Granny, Jolly Black Widow ",https://killer.cloud/serial-killers/show/106/nannie-doss
137, Sergei Dovzhenko  Murchik ,https://killer.cloud/serial-killers/show/632/sergei-dovzhenko
138," John Duffy  The Railway Killers, The Railway Rapists ",https://killer.cloud/serial-killers/show/601/john-duffy
139, Brian Dugan   ,https://killer.cloud/serial-killers/show/408/brian-dugan
140, Sibusiso Duma   ,https://killer.cloud/serial-killers/show/217/sibusiso-duma
141, Martin Dumollard  The Maid Killer ,https://killer.cloud/serial-killers/show/606/martin-dumollard
142, Joseph Edward Duncan  The Fifth Nail ,https://killer.cloud/serial-killers/show/264/joseph-e-duncan-iii
143, Jon Scott Dunkle  Peninsula Serial Killer ,https://killer.cloud/serial-killers/show/554/jon-scott-dunkle
144, Peter Dupas   ,https://killer.cloud/serial-killers/show/372/peter-dupas
145, Paul Durousseau  The Jacksonville Strangler ,https://killer.cloud/serial-killers/show/215/paul-durousseau
146, Marc Dutroux  Dutroux murders ,https://killer.cloud/serial-killers/show/278/marc-dutroux
147, Amelia Dyer  The Reading Baby Farmer ,https://killer.cloud/serial-killers/show/520/amelia-dyer
148," Nikolai Dzhumagaliev  Metal Fang, Kolya the Maneater ",https://killer.cloud/serial-killers/show/182/nikolai-dzhumagaliev
149, Volker Eckert  Brummi Killer ,https://killer.cloud/serial-killers/show/141/volker-eckert
150, Mack Ray Edwards   ,https://killer.cloud/serial-killers/show/231/mack-ray-edwards
151, Edward Edwards  Sweetheart Murders ,https://killer.cloud/serial-killers/show/268/edward-edwards
152," Bradley Robert Edwards  Claremont killer, Codename Macro, Bogsy ",https://killer.cloud/serial-killers/show/421/claremont-killer
153," Willem van Eijk  The Beast of Harkstede, Gekke Willempje ",https://killer.cloud/serial-killers/show/299/willem-van-eijk
154, Walter E. Ellis  The Milwaukee North Side Strangler ,https://killer.cloud/serial-killers/show/218/walter-e-ellis
155," Vadim Ershov  The Krasnoyarsk Beast, The Krasnoyarsk Chikatilo, The Maniac with a Diary ",https://killer.cloud/serial-killers/show/633/vadim-ershov
156," Kenneth Erskine  The Stockwell Strangler, the heatwave killer ",https://killer.cloud/serial-killers/show/187/kenneth-erskine
157, Scott Erskine   ,https://killer.cloud/serial-killers/show/388/scott-erskine
158, Francisco Garcia Escalero  The Killer Beggar ,https://killer.cloud/serial-killers/show/113/francisco-garcia-escalero
159, Ramon Escobar  Homeless serial killer ,https://killer.cloud/serial-killers/show/596/ramon-escobar
160, Felipe Espinosa  The Bloody Espinosas ,https://killer.cloud/serial-killers/show/615/felipe-espinosa
161, Gary Charles Evans   ,https://killer.cloud/serial-killers/show/172/gary-c-evans
162," Donald Leroy Evans  Hi Hitler, Heil Hitler ",https://killer.cloud/serial-killers/show/389/donald-leroy-evans
163, Richard Evonitz   ,https://killer.cloud/serial-killers/show/390/richard-evonitz
164, Larry Eyler  The Interstate Killer ,https://killer.cloud/serial-killers/show/37/larry-eyler
165, Christine Falling  Christine Laverne Slaughter ,https://killer.cloud/serial-killers/show/535/christine-falling
166, Lorenzo Fayne   ,https://killer.cloud/serial-killers/show/583/lorenzo-fayne
167," Florencio Fernández  The Argentine Vampire, The Window Vampire ",https://killer.cloud/serial-killers/show/524/florencio-fernandez
168, Marie Fikackova  Marie Schmidl ,https://killer.cloud/serial-killers/show/654/marie-fikackova
169," Pedro Rodrigues Filho  Pedrinho Matador, Killer Petey ",https://killer.cloud/serial-killers/show/3/pedro-rodrigues-filho
170," Albert Fish  Gray Man, Werewolf of Wysteria, The Boogey Man ",https://killer.cloud/serial-killers/show/367/albert-fish
171, Kathleen Folbigg  Australia’s worst serial killer ,https://killer.cloud/serial-killers/show/328/kathleen-folbigg
172, Delano Forbes  the Antigua Vampire Killer ,https://killer.cloud/serial-killers/show/635/delano-forbes
173, Wayne Adam Ford   ,https://killer.cloud/serial-killers/show/318/wayne-adam-ford
174," Michel Fourniret  the Ogre, the Beast of Ardennes ",https://killer.cloud/serial-killers/show/52/michel-fourniret
175," Bobby Jack Fowler  Project E-Pana, the Highway of Tears ",https://killer.cloud/serial-killers/show/645/bobby-jack-fowler
176, Kendall Francois  The Poughkeepsie Killer ,https://killer.cloud/serial-killers/show/168/kendall-francois
177," Lonnie David Franklin  Grim Sleeper, Southside Slayer murders ",https://killer.cloud/serial-killers/show/125/lonnie-david-franklin-jr
178, Joseph Paul Franklin  The Racist Killer ,https://killer.cloud/serial-killers/show/159/joseph-paul-franklin
179," Leonard Fraser  The Rockhampton Rapist, The Bad Seed ",https://killer.cloud/serial-killers/show/308/leonard-fraser
180, Sataro Fukiage  Shinshumaro ,https://killer.cloud/serial-killers/show/203/sataro-fukiage
181, William Patrick Fyfe  The Killer Handyman ,https://killer.cloud/serial-killers/show/259/william-patrick-fyfe
182," John Wayne Gacy  Pogo the Clown, The Killer Clown ",https://killer.cloud/serial-killers/show/16/john-wayne-gacy
183, Irina Gaidamachuk  Satan in a skirt ,https://killer.cloud/serial-killers/show/49/irina-gaidamachuk
184," Gerald Gallego  The Love Slave Killers, The Gallego Sex Slaves Killers ",https://killer.cloud/serial-killers/show/536/gerald-gallego
185," Charlene Gallego  The Love Slave Killers, The Gallego Sex Slaves Killers ",https://killer.cloud/serial-killers/show/537/charlene-gallego
186," Luis Garavito  La Bestia, The Beast ",https://killer.cloud/serial-killers/show/450/luis-garavito
187, Juan Díaz de Garayo  The Fat Extractor ,https://killer.cloud/serial-killers/show/609/juan-diaz-de-garayo
188," Michael Gargiulo  Chiller Killer, Hollywood Ripper ",https://killer.cloud/serial-killers/show/371/michael-gargiulo
189," Carlton Gary  The Stocking Strangler, Steakhouse Bandit ",https://killer.cloud/serial-killers/show/197/carlton-gary
190," Donald Henry Gaskins  Pee Wee, The Meanest Man in America ",https://killer.cloud/serial-killers/show/91/donald-henry-gaskins
191," Guy Georges  The Beast of the Bastille, the killer of eastern Paris ",https://killer.cloud/serial-killers/show/209/guy-georges
192, Hubert Geralds  Englewood Strangler ,https://killer.cloud/serial-killers/show/586/hubert-geralds
193," Janie Lou Gibbs  The Georgian Black Widow, the Black Georgia Peach ",https://killer.cloud/serial-killers/show/283/janie-lou-gibbs
194, William Clyde Gibson   ,https://killer.cloud/serial-killers/show/622/william-clyde-gibson
195, Bertha Gifford  Bertha Alice Graham ,https://killer.cloud/serial-killers/show/362/bertha-gifford
196, Kristen Gilbert  The Angel of Death ,https://killer.cloud/serial-killers/show/538/kristen-gilbert
197, Bernard Giles   ,https://killer.cloud/serial-killers/show/647/bernard-giles
198, Sean Vincent Gillis  The Other Baton Rouge Killer ,https://killer.cloud/serial-killers/show/176/sean-vincent-gillis
199, Lorenzo Gilyard  The Kansas City Strangler ,https://killer.cloud/serial-killers/show/86/lorenzo-gilyard
200, Walter De Giusti  Walter Di Giusti ,https://killer.cloud/serial-killers/show/525/walter-de-giusti
201," Harvey Glatman  The Lonely Hearts Killer, Glamour Girl Slayer ",https://killer.cloud/serial-killers/show/383/harvey-glatman
202," Billy Glaze  Butcher Knife Billy, Jesse Sitting Crow ",https://killer.cloud/serial-killers/show/361/billy-glaze
203, John Wayne Glover  The Granny Killer ,https://killer.cloud/serial-killers/show/223/john-wayne-glover
204," Sean Patrick Goble  Baileyton Truck Stop Murder, The Wild One ",https://killer.cloud/serial-killers/show/502/sean-patrick-goble
205," Cayetano Santos Godino  Petiso Orejudo, the Big-eared Midget ",https://killer.cloud/serial-killers/show/343/cayetano-santos-godino
206, Billy Gohl  Ghoul of Grays Harbor ,https://killer.cloud/serial-killers/show/575/billy-gohl
207," Sergey Golovkin  The Fisher, The Boa ",https://killer.cloud/serial-killers/show/101/sergey-golovkin
208, David Alan Gore  The Killing Cousins ,https://killer.cloud/serial-killers/show/463/david-alan-gore
209, Mark Goudeau  The Baseline Killer ,https://killer.cloud/serial-killers/show/158/mark-goudeau
210, Kwauhuru Govan  murder of Rashawn Brazell ,https://killer.cloud/serial-killers/show/549/kwauhuru-govan
211, Harrison Graham   ,https://killer.cloud/serial-killers/show/184/harrison-graham
212," Gwendolyn Graham  The Lethal Lovers, the Alpine Manor serial killers ",https://killer.cloud/serial-killers/show/547/gwendolyn-graham
213, Shawn Grate   ,https://killer.cloud/serial-killers/show/621/shawn-grate
214, Dana Sue Gray   ,https://killer.cloud/serial-killers/show/411/dana-sue-gray
215, Vaughn Greenwood  Skid Row Slasher ,https://killer.cloud/serial-killers/show/104/vaughn-greenwood
